t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=C:\\Users\\shres\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=D:\\ai-resume\\resume-matcher-main\\ngrok-tunnels.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-20T17:00:45+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-20T17:00:45+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-20T17:00:45+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=e09f33cd9de0 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=4b350913c427 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=be2d4837eece l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=31d386b935e5 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=20ef1e90ee3b l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=cb988757296b l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=b968ac7aa95d l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=cb89ec60f286 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:54404
t=2026-01-20T17:06:57+0530 lvl=info msg="join connections" obj=join id=47712c7b21d4 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:07:04+0530 lvl=info msg="join connections" obj=join id=c492d35b5208 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:07:25+0530 lvl=info msg="join connections" obj=join id=a0ea170ae3f6 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:07:32+0530 lvl=info msg="join connections" obj=join id=617ee6b2a5d0 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:07:45+0530 lvl=info msg="join connections" obj=join id=32b7d72f269e l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:07:52+0530 lvl=info msg="join connections" obj=join id=f26bde475556 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:07:57+0530 lvl=info msg="join connections" obj=join id=ee2ed928745f l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:08:02+0530 lvl=info msg="join connections" obj=join id=112b6b8b4967 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
